Instance,#cols,#rows,DLX,DXZ,D3X,DXD_S,DXD_M,IDXD_S,IDXD_M,MDLX,SharpSAT-TD,ExactMC,#sols,#Max_B,zdd_compile(s),cnf_compile(s)
Aarnet,581,2737,,,,3.9522,3.3369,,,,,,3.111224e+99,20,0.082373,0.0559
Abilene,566,2590,,,,8.3327,4.6968,,,,,,2.947796e+87,20,0.074333,0.05
Abvt,556,2756,,,,5.8364,5.4066,,,,,,3.719356e+101,20,0.080279,0.0528
Aconet,512,2592,,,,5.5559,5.6229,,,,,,2.080236e+102,20,0.068734,0.0474
Agis,587,2554,,,,14.0535,10.6114,,,,,,5.283544e+90,20,0.075494,0.0524
Ai3,536,2790,,,,5.4436,5.2663,,,,,,7.460091e+107,20,0.0746,0.0526
Airtel,540,2806,,,,7.6602,6.1271,,,,,,7.146325e+110,20,0.078643,0.0527
Amres,552,2828,,,,7.5161,5.3026,,,,,,7.004742e+109,20,0.075115,0.0543
Ans,550,2738,,,,12.7017,11.0088,,,,,,4.008388e+106,20,0.077844,0.0516
Arn,528,2773,,,,8.2177,5.7743,,,,,,1.483875e+108,20,0.07822,0.053
Arnes,564,2843,,,,5.7098,5.5949,,,,,,7.938969e+108,20,0.082256,0.0558
AttMpls,551,2696,,,,6.4504,4.3512,,,,,,6.141025e+96,20,0.077838,0.0533
Azrena,522,2785,,,,6.5321,4.1186,,,,,,3.502948e+115,20,0.076441,0.0514
Bandcon,554,2709,,,,5.9255,5.6473,,,,,,7.437592e+101,20,0.079224,0.0537
Basnet,547,2545,,,,2.7600,2.4723,,,,,,2.486654e+89,20,0.070117,0.0469
Bbnplanet,558,2761,,,,3.9402,4.3651,,,,,,1.215364e+104,20,0.084734,0.0537
Bellcanada,495,2458,,,,2.8890,1.4921,,,,,,1.954141e+99,20,0.061775,0.0432
Bellsouth,534,2657,,,,3.3301,1.9085,,,,,,7.058979e+101,20,0.06908,0.0485
Belnet2005,535,2986,,,,12.5413,8.0981,,,,,,8.851540e+117,20,0.086784,0.0574
BeyondTheNetwork,565,2683,,,,7.3688,9.0929,,,,,,1.963275e+99,20,0.07611,0.0509
Bics,576,2545,,,,3.5297,2.7285,,,,,,4.884831e+88,20,0.072856,0.0504
Biznet,532,2671,,,,4.5464,4.5164,,,,,,4.306103e+109,20,0.073715,0.0523
Bren,596,2740,,,,4.3063,2.9766,,,,,,1.962197e+93,20,0.087713,0.0556
BsonetEurope,562,2793,,,,23.7722,15.5568,,,,,,8.320872e+107,20,0.080269,0.0543
BtAsiaPac,518,2832,,,,9.8724,6.0153,,,,,,1.594906e+115,20,0.077904,0.0555
BtEurope,533,2725,,,,10.3085,6.3267,,,,,,9.520579e+112,20,0.076132,0.0512
Canerie,552,2625,,,,4.4751,4.3077,,,,,,8.343475e+102,20,0.071298,0.0507
Carnet,550,3132,,,,37.8992,21.7498,,,,,,6.099611e+128,20,0.088646,0.0617
